date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-05-06 00:00:00+05:30,12425.1900,1351.1900,11074.0000,8648.8100,10000.0000,0.0000,2425.1900,0.0000,2425.1900,12425.1900,0.0000,0.0000,-89.9500,0.8900,0.8900,11074.0000,11074.0000,11074.0000,0.0000,1,0,-0.0072,0.2425,0.3013,-0.0813,1.6445,0.3052,9321.1929,-0.0139,0.0023891292151264763,0.6084206641768911
2022-05-09 00:00:00+05:30,12292.1900,1351.1900,10941.0000,8648.8100,10000.0000,0.0000,2292.1900,0.0000,2292.1900,12292.1900,0.0000,0.0000,-133.0000,0.8900,0.8900,10941.0000,10941.0000,10941.0000,0.0000,1,0,-0.0107,0.2292,0.3001,-0.0911,1.6254,0.3054,9247.5624,-0.0079,0.0024301270080813874,0.6129876914059775
2022-05-10 00:00:00+05:30,12180.1900,1351.1900,10829.0000,8648.8100,10000.0000,0.0000,2180.1900,0.0000,2180.1900,12180.1900,0.0000,0.0000,-112.0000,0.8900,0.8900,10829.0000,10829.0000,10829.0000,0.0000,1,0,-0.0091,0.2180,0.2988,-0.0994,1.5850,0.3058,9190.4896,-0.0062,0.002329993409515884,0.6142914513391956
2022-05-11 00:00:00+05:30,12237.9400,1351.1900,10886.7500,8648.8100,10000.0000,0.0000,2237.9400,0.0000,2237.9400,12237.9400,0.0000,0.0000,57.7500,0.8900,0.8900,10886.7500,10886.7500,10886.7500,0.0000,1,0,0.0047,0.2238,0.2972,-0.0951,1.2605,0.3002,9187.3708,-0.0003,0.0025335388176609005,0.6165198700727867
2022-05-12 00:00:00+05:30,11988.7400,1351.1900,10637.5500,8648.8100,10000.0000,0.0000,1988.7400,0.0000,1988.7400,11988.7400,0.0000,0.0000,-249.2000,0.8900,0.8900,10637.5500,10637.5500,10637.5500,0.0000,1,0,-0.0204,0.1989,0.2975,-0.1135,1.1806,0.3017,8974.2761,-0.0232,0.0020653489712012018,0.6086380900432974
2022-05-13 00:00:00+05:30,11850.8400,1351.1900,10499.6500,8648.8100,10000.0000,0.0000,1850.8400,0.0000,1850.8400,11850.8400,0.0000,0.0000,-137.9000,0.8900,0.8900,10499.6500,10499.6500,10499.6500,0.0000,1,0,-0.0115,0.1851,0.2965,-0.1237,1.2012,0.3014,8940.6505,-0.0037,0.002254325221845069,0.6244774788707246
2022-05-16 00:00:00+05:30,12613.1400,1351.1900,11261.9500,8648.8100,10000.0000,0.0000,2613.1400,0.0000,2613.1400,12613.1400,0.0000,0.0000,762.3000,0.8900,0.8900,11261.9500,11261.9500,11261.9500,0.0000,1,0,0.0643,0.2613,0.3139,-0.0674,2.3217,0.3218,8995.8521,0.0062,0.003355112371641168,0.6531206539275484
2022-05-17 00:00:00+05:30,13083.1900,1351.1900,11732.0000,8648.8100,10000.0000,0.0000,3083.1900,0.0000,3083.1900,13083.1900,0.0000,0.0000,470.0500,0.9000,0.9000,11732.0000,11732.0000,11732.0000,0.0000,1,0,0.0373,0.3083,0.3183,-0.0326,2.4348,0.3260,9231.7136,0.0262,0.003814695670056957,0.6629259868012459
2022-05-18 00:00:00+05:30,13132.1900,1351.1900,11781.0000,8648.8100,10000.0000,0.0000,3132.1900,0.0000,3132.1900,13132.1900,0.0000,0.0000,49.0000,0.9000,0.9000,11781.0000,11781.0000,11781.0000,0.0000,1,0,0.0037,0.3132,0.3166,-0.0290,2.5642,0.3255,9218.1045,-0.0015,0.0038016843970773433,0.6588099259536901
2022-05-19 00:00:00+05:30,13195.5400,1351.1900,11844.3500,8648.8100,10000.0000,0.0000,3195.5400,0.0000,3195.5400,13195.5400,0.0000,0.0000,63.3500,0.9000,0.9000,11844.3500,11844.3500,11844.3500,0.0000,1,0,0.0048,0.3196,0.3150,-0.0243,2.6200,0.3254,8975.7504,-0.0263,0.004172526483747328,0.6191659771632215
2022-05-20 00:00:00+05:30,13622.1900,1351.1900,12271.0000,8648.8100,10000.0000,0.0000,3622.1900,0.0000,3622.1900,13622.1900,0.0000,0.0000,426.6500,0.9000,0.9000,12271.0000,12271.0000,12271.0000,0.0000,1,0,0.0323,0.3622,0.3178,0.0000,3.1722,0.3289,9231.9687,0.0285,0.00441747718515313,0.6432328842724634
2022-05-23 00:00:00+05:30,14007.1900,1351.1900,12656.0000,8648.8100,10000.0000,0.0000,4007.1900,0.0000,4007.1900,14007.1900,0.0000,0.0000,385.0000,0.9000,0.9000,12656.0000,12656.0000,12656.0000,0.0000,1,0,0.0283,0.4007,0.3195,0.0000,4.0027,0.3238,9181.3602,-0.0055,0.005138174605838998,0.6339258644906317
2022-05-24 00:00:00+05:30,13790.1900,1351.1900,12439.0000,8648.8100,10000.0000,0.0000,3790.1900,0.0000,3790.1900,13790.1900,0.0000,0.0000,-217.0000,0.9000,0.9000,12439.0000,12439.0000,12439.0000,0.0000,1,0,-0.0155,0.3790,0.3188,-0.0155,3.9112,0.3252,9151.7889,-0.0032,0.005398789299944644,0.629899576888846
2022-05-25 00:00:00+05:30,13612.0400,1351.1900,12260.8500,8648.8100,10000.0000,0.0000,3612.0400,0.0000,3612.0400,13612.0400,0.0000,0.0000,-178.1500,0.9000,0.9000,12260.8500,12260.8500,12260.8500,0.0000,1,0,-0.0129,0.3612,0.3178,-0.0282,3.4957,0.3260,9094.1206,-0.0063,0.005337031997432897,0.6307013648739113
2022-05-26 00:00:00+05:30,13776.1900,1351.1900,12425.0000,8648.8100,10000.0000,0.0000,3776.1900,0.0000,3776.1900,13776.1900,0.0000,0.0000,164.1500,0.9000,0.9000,12425.0000,12425.0000,12425.0000,0.0000,1,0,0.0121,0.3776,0.3168,-0.0165,3.9321,0.3227,9186.9739,0.0102,0.005110062196943164,0.6318354516097042
2022-05-27 00:00:00+05:30,13930.5400,1351.1900,12579.3500,8648.8100,10000.0000,0.0000,3930.5400,0.0000,3930.5400,13930.5400,0.0000,0.0000,154.3500,0.9000,0.9000,12579.3500,12579.3500,12579.3500,0.0000,1,0,0.0112,0.3931,0.3157,-0.0055,3.8071,0.3209,9274.6104,0.0095,0.0049855468346297425,0.665255219791
2022-05-30 00:00:00+05:30,14056.5400,1351.1900,12705.3500,8648.8100,10000.0000,0.0000,4056.5400,0.0000,4056.5400,14056.5400,0.0000,0.0000,126.0000,0.9000,0.9000,12705.3500,12705.3500,12705.3500,0.0000,1,0,0.0090,0.4057,0.3144,0.0000,3.4559,0.3101,9451.5845,0.0191,0.004862183776763223,0.6520812061008053
2022-05-31 00:00:00+05:30,14130.0400,1351.1900,12778.8500,8648.8100,10000.0000,0.0000,4130.0400,0.0000,4130.0400,14130.0400,0.0000,0.0000,73.5000,0.9000,0.9000,12778.8500,12778.8500,12778.8500,0.0000,1,0,0.0052,0.4130,0.3129,0.0000,3.3947,0.3099,9400.5790,-0.0054,0.004346315871206456,0.6247507413154528
2022-06-01 00:00:00+05:30,14644.1900,1351.1900,13293.0000,8648.8100,10000.0000,0.0000,4644.1900,0.0000,4644.1900,14644.1900,0.0000,0.0000,514.1500,0.9100,0.9100,13293.0000,13293.0000,13293.0000,0.0000,1,0,0.0364,0.4644,0.3166,0.0000,3.9347,0.3156,9379.3432,-0.0023,0.004704084552071691,0.628494442662702
